Date,BTC-USD,ETH-USD,GC=F,^GSPC,^IXIC
2020-07-07,9252.27734375,239.07553100585938,1804.199951171875,3145.320068359375,10343.8896484375
2020-07-08,9428.3330078125,246.67001342773438,1815.5,3169.93994140625,10492.5
2020-07-09,9277.9677734375,243.01596069335938,1799.199951171875,3152.050048828125,10547.75
2020-07-10,9278.8076171875,240.9849853515625,1798.199951171875,3185.0400390625,10617.4404296875
2020-07-11,9240.3466796875,239.4581756591797,1798.199951171875,3185.0400390625,10617.4404296875
2020-07-12,9276.5,242.13169860839844,1798.199951171875,3185.0400390625,10617.4404296875
2020-07-13,9243.6142578125,239.60458374023438,1811.0,3155.219970703125,10390.83984375
2020-07-14,9243.2138671875,240.21148681640625,1810.5999755859375,3197.52001953125,10488.580078125
2020-07-15,9192.8369140625,238.42352294921875,1811.4000244140625,3226.56005859375,10550.490234375
2020-07-16,9132.2275390625,233.64088439941406,1798.699951171875,3215.570068359375,10473.830078125
2020-07-17,9151.392578125,232.77308654785156,1808.300048828125,3224.72998046875,10503.1904296875
2020-07-18,9159.0400390625,235.4838104248047,1808.300048828125,3224.72998046875,10503.1904296875
2020-07-19,9185.8173828125,238.48751831054688,1808.300048828125,3224.72998046875,10503.1904296875
2020-07-20,9164.2314453125,236.15316772460938,1815.9000244140625,3251.840087890625,10767.08984375
2020-07-21,9374.8876953125,245.0167236328125,1842.4000244140625,3257.300048828125,10680.3603515625
2020-07-22,9525.36328125,262.1906433105469,1864.0999755859375,3276.02001953125,10706.1298828125
2020-07-23,9581.072265625,274.6890563964844,1889.0999755859375,3235.659912109375,10461.419921875
2020-07-24,9536.892578125,279.2154235839844,1897.300048828125,3215.6298828125,10363.1796875
2020-07-25,9677.11328125,304.0567626953125,1897.300048828125,3215.6298828125,10363.1796875
2020-07-26,9905.1669921875,309.64361572265625,1897.300048828125,3215.6298828125,10363.1796875
2020-07-27,10990.873046875,321.51409912109375,1931.0,3239.409912109375,10536.26953125
2020-07-28,10912.8232421875,316.6572570800781,1944.699951171875,3218.43994140625,10402.08984375
2020-07-29,11100.4677734375,318.1908874511719,1953.5,3258.43994140625,10542.9404296875
2020-07-30,11111.2138671875,334.5866394042969,1942.300048828125,3246.219970703125,10587.8095703125
2020-07-31,11323.466796875,345.5546569824219,1962.800048828125,3271.1201171875,10745.26953125
2020-08-01,11759.5927734375,385.19970703125,1962.800048828125,3271.1201171875,10745.26953125
2020-08-02,11053.6142578125,370.6717224121094,1962.800048828125,3271.1201171875,10745.26953125
2020-08-03,11246.3486328125,386.295166015625,1966.0,3294.610107421875,10902.7998046875
2020-08-04,11205.892578125,389.87548828125,2001.199951171875,3306.510009765625,10941.169921875
2020-08-05,11747.0224609375,401.590576171875,2031.0999755859375,3327.77001953125,10998.400390625
2020-08-06,11779.7734375,394.9619445800781,2051.5,3349.159912109375,11108.0703125
2020-08-07,11601.47265625,379.5128479003906,2010.0999755859375,3351.280029296875,11010.98046875
2020-08-08,11754.0458984375,393.98736572265625,2010.0999755859375,3351.280029296875,11010.98046875
2020-08-09,11675.7392578125,391.1204528808594,2010.0999755859375,3351.280029296875,11010.98046875
2020-08-10,11878.111328125,395.8875732421875,2024.4000244140625,3360.469970703125,10968.3603515625
2020-08-11,11410.525390625,380.3840637207031,1932.5999755859375,3333.68994140625,10782.8203125
2020-08-12,11584.9345703125,391.024169921875,1934.9000244140625,3380.35009765625,11012.240234375
2020-08-13,11784.1376953125,428.7417907714844,1956.699951171875,3373.429931640625,11042.5
2020-08-14,11768.87109375,437.3978271484375,1937.0,3372.85009765625,11019.2998046875
2020-08-15,11865.6982421875,433.35491943359375,1937.0,3372.85009765625,11019.2998046875
2020-08-16,11892.8037109375,433.78662109375,1937.0,3372.85009765625,11019.2998046875
2020-08-17,12254.40234375,429.53125,1985.0,3381.989990234375,11129.73046875
2020-08-18,11991.2333984375,423.6693115234375,1999.4000244140625,3389.780029296875,11210.83984375
2020-08-19,11758.283203125,406.4637756347656,1958.699951171875,3374.85009765625,11146.4599609375
2020-08-20,11878.3720703125,416.4397888183594,1933.800048828125,3385.510009765625,11264.9501953125
2020-08-21,11592.4892578125,389.1263427734375,1934.5999755859375,3397.159912109375,11311.7998046875
2020-08-22,11681.8251953125,395.83514404296875,1934.5999755859375,3397.159912109375,11311.7998046875
2020-08-23,11664.84765625,391.3844909667969,1934.5999755859375,3397.159912109375,11311.7998046875
2020-08-24,11774.595703125,408.1441955566406,1927.699951171875,3431.280029296875,11379.7197265625
2020-08-25,11366.134765625,384.00103759765625,1911.800048828125,3443.6201171875,11466.4697265625
2020-08-26,11488.36328125,386.46612548828125,1940.699951171875,3478.72998046875,11665.0595703125
2020-08-27,11323.3974609375,382.63262939453125,1921.5999755859375,3484.550048828125,11625.33984375
2020-08-28,11542.5,395.8746643066406,1964.5999755859375,3508.010009765625,11695.6298828125
2020-08-29,11506.865234375,399.9214782714844,1964.5999755859375,3508.010009765625,11695.6298828125
2020-08-30,11711.505859375,428.3957214355469,1964.5999755859375,3508.010009765625,11695.6298828125
2020-08-31,11680.8203125,435.0797424316406,1967.5999755859375,3500.31005859375,11775.4599609375
2020-09-01,11970.478515625,477.0519104003906,1968.199951171875,3526.64990234375,11939.669921875
2020-09-02,11414.0341796875,440.0404968261719,1934.4000244140625,3580.840087890625,12056.4404296875
2020-09-03,10245.296875,385.67193603515625,1927.5999755859375,3455.06005859375,11458.099609375
2020-09-04,10511.8134765625,388.24114990234375,1923.9000244140625,3426.9599609375,11313.1298828125
2020-09-05,10169.5673828125,335.26007080078125,1923.9000244140625,3426.9599609375,11313.1298828125
2020-09-06,10280.3515625,353.3622741699219,1923.9000244140625,3426.9599609375,11313.1298828125
2020-09-07,10369.5634765625,352.6734924316406,1923.9000244140625,3426.9599609375,11313.1298828125
2020-09-08,10131.5166015625,337.60211181640625,1933.0,3331.840087890625,10847.6904296875
2020-09-09,10242.34765625,351.1100158691406,1944.699951171875,3398.9599609375,11141.5595703125
2020-09-10,10363.138671875,368.1018981933594,1954.199951171875,3339.18994140625,10919.58984375
2020-09-11,10400.9150390625,374.6955871582031,1937.800048828125,3340.969970703125,10853.5498046875
2020-09-12,10442.1708984375,387.18310546875,1937.800048828125,3340.969970703125,10853.5498046875
2020-09-13,10323.755859375,365.57000732421875,1937.800048828125,3340.969970703125,10853.5498046875
2020-09-14,10680.837890625,377.26885986328125,1953.0999755859375,3383.5400390625,11056.650390625
2020-09-15,10796.951171875,364.8392028808594,1956.300048828125,3401.199951171875,11190.3203125
2020-09-16,10974.9052734375,365.8122863769531,1960.199951171875,3385.489990234375,11050.4697265625
2020-09-17,10948.990234375,389.01922607421875,1940.0,3357.010009765625,10910.2802734375
2020-09-18,10944.5859375,384.3645324707031,1952.0999755859375,3319.469970703125,10793.2802734375
2020-09-19,11094.3466796875,385.54437255859375,1952.0999755859375,3319.469970703125,10793.2802734375
2020-09-20,10938.271484375,371.0528259277344,1952.0999755859375,3319.469970703125,10793.2802734375
